"country","countryCode","date","filterByKeyword","filterByRating","isVerified","position","product/listPrice","product/price","productAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","variant","variantAsin"
"India",,"2024-05-07",,"oneStar","true","1",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Maine i3 10th gen 10100f order kiya tha lekin aya 10105f my money loss ..😭😭.. return policy kam nahi kar raha hai 😭","R2HAAH9072CKD1",,,,"","Very bad product","https://www.amazon.in/gp/customer-reviews/R2HAAH9072CKD1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 7 May 2024","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2023-06-30",,"oneStar","true","2",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Dont buy this processor, it not working without extra graphics card.","R1C97DV89BFM59",,,,"One person found this helpful","Wastage of money","https://www.amazon.in/gp/customer-reviews/R1C97DV89BFM59/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 30 June 2023","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2022-02-18",,"oneStar","true","3",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","I did not even got a chance to check the performance as the chip was already missing. I oredered for a intel i3 10100F and received an Intel i3 9100F. The seal was not there, moreover the plastic wrap was Missing.","R5QXSYLC076WS",,,,"","The seal and wrap was missing.The cpu itself was missing.","https://www.amazon.in/gp/customer-reviews/R5QXSYLC076WS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 18 February 2022","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2023-03-03",,"oneStar","true","4",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","The product is defective🤬 don't buy this product 🤬🤬😡😡","R17SG0QT55KGL5",,,,"","Defective product","https://www.amazon.in/gp/customer-reviews/R17SG0QT55KGL5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 3 March 2023","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2021-11-22",,"oneStar","true","5",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","As a prime member i never received such item from Amazon. Processor is faulty and due to short replacement window. Amazon playing game with their rule rather support customer.","RNJS1R7PPO3ZX",,,,"","Short replacement window and faulty product","https://www.amazon.in/gp/customer-reviews/RNJS1R7PPO3ZX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 22 November 2021","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2022-06-01",,"oneStar","true","6",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Bakwaaas product with mandatory descreet graphics requirement.... my worst purchase since i joined amazon.... only regrets......","R3SKWZVKT3DXJA",,,,"","My Worst Purchase","https://www.amazon.in/gp/customer-reviews/R3SKWZVKT3DXJA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 1 June 2022","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2022-05-03",,"oneStar","true","7",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Graphics required","R23I8QEU89H5L9",,,,"One person found this helpful","I3 very Bad product","https://www.amazon.in/gp/customer-reviews/R23I8QEU89H5L9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 3 May 2022","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2022-03-06",,"oneStar","true","8",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Too high price","R9LNN94BWB6R9",,,,"","Too high price","https://www.amazon.in/gp/customer-reviews/R9LNN94BWB6R9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 6 March 2022","101","29","Pattern Name: Processor","B08LKJPR5X"
"India",,"2022-01-09",,"oneStar","true","9",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","I received just a fan","R2TSCKKWPW4F1K","https://m.media-amazon.com/images/I/61Q6jyzKxPL._SY88.jpg","https://m.media-amazon.com/images/I/61eJ3-0qugL._SY88.jpg",,"2 people found this helpful","I ordered i3 10100f and got it it box with no processor inside","https://www.amazon.in/gp/customer-reviews/R2TSCKKWPW4F1K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08LKJPR5X","Reviewed in India on 9 January 2022","101","29","Pattern Name: Processor","B08LKJPR5X"
"France",,"2022-03-30",,"oneStar","true","10",,,"B08LKJPR5X","1","https://www.amazon.in/product-reviews/B08LKJPR5X?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","processeur bien emballer mais le problème c'est qu'il arrive tordu en deuxje deconseille","R1ZVWI1EU78M7E",,,,"","arrive tordu",,"Reviewed in France on 30 March 2022","101","29","Pattern Name: Processor","B08LKJPR5X"
