"country","countryCode","date","filterByKeyword","filterByRating","isVerified","position","product/listPrice","product/price","productAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","variant","variantAsin"
"France",,"2024-06-03",,"twoStar","true","1",,,"B09MDFH5HY","2","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&language=en","Produit pas dans sa boîte d'origine, ventirad poussiéreux et pâtes de fixation déjà utilisées légèrement tordues marques de pâte thermique sur ventirad et processeur","R34P0H2XC3KEZW",,,,"","Pas neuf",,"Reviewed in France on 3 June 2024","13","5","Pattern Name: Processor","B09MDFH5HY"
"France",,"2024-05-12",,"twoStar","true","2",,,"B09MDFH5HY","2","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&language=en","Bien pour un Gamer moyen gamme","R24DQH9AMNHDLW",,,,"","I5",,"Reviewed in France on 12 May 2024","13","5","Pattern Name: Processor","B09MDFH5HY"
"Spain",,"2024-01-09",,"twoStar","true","3",,,"B09MDFH5HY","2","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&language=en","Todo correcto si el producto hubiera llegado.","R1W27RX58HTBHK",,,,"","Producto de buena calidad.",,"Reviewed in Spain on 9 January 2024","13","5","Pattern Name: Processor","B09MDFH5HY"
"Italy",,"2023-07-18",,"twoStar","true","4",,,"B09MDFH5HY","2","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&language=en","ho pagato per un prodotto nuovo ed é arrivato uno con chiari segni di precedente utilizzo.","R3KHAWE3J2DP4Z",,,,"One person found this helpful","usato?",,"Reviewed in Italy on 18 July 2023","13","5","Pattern Name: Processor","B09MDFH5HY"
"France",,"2023-08-03",,"twoStar","true","5",,,"B09MDFH5HY","2","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&language=en","J'ai reçu le processeur dans le ventirad, ce n'est mentionné nulle part.","R18W89NLYI20Q3",,,,"","Reçu sans ventirad...",,"Reviewed in France on 3 August 2023","13","5","Pattern Name: Processor","B09MDFH5HY"
"India",,"2023-12-26",,"oneStar","true","1",,,"B09MDFH5HY","1","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","I recently purchased an i5 processor from Amazon, and unfortunately, it turned out to be defective. Despite my efforts to seek assistance from Amazon, their customer support proved unhelpful, leaving me frustrated with my hard-earned money seemingly down the drain. Disappointed with both the product and the lack of support, I advise potential buyers to exercise caution when considering this purchase.","R1F1GCPNT92PBP","https://m.media-amazon.com/images/I/61lGTSuwCKL._SY88.jpg","https://m.media-amazon.com/images/I/71br1w3nUuL._SY88.jpg","https://m.media-amazon.com/images/I/71ylzoWQp2L._SY88.jpg","12 people found this helpful","Disappointing Experience with Defective i5 Processor","https://www.amazon.in/gp/customer-reviews/R1F1GCPNT92PBP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09MDFH5HY","Reviewed in India on 26 December 2023","76","25","Pattern Name: Processor","B09MDFH5HY"
"India",,"2024-03-03",,"oneStar","true","2",,,"B09MDFH5HY","1","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Fan is not working faulty device.Suggest not to buy this from hereNo support help me 😞Very disappointed","R2CRYJ4FXH40UF",,,,"2 people found this helpful","Faulty product","https://www.amazon.in/gp/customer-reviews/R2CRYJ4FXH40UF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09MDFH5HY","Reviewed in India on 3 March 2024","76","25","Pattern Name: Processor","B09MDFH5HY"
"India",,"2024-01-31",,"oneStar","true","3",,,"B09MDFH5HY","1","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Don’t buy, there’re selling used and defective product.","R35F5ZQZD6ECVZ","https://m.media-amazon.com/images/I/71nBwx4yTXL._SY88.jpg",,,"One person found this helpful","I received used product.","https://www.amazon.in/gp/customer-reviews/R35F5ZQZD6ECVZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09MDFH5HY","Reviewed in India on 31 January 2024","76","25","Pattern Name: Processor","B09MDFH5HY"
"Australia",,"2023-06-02",,"oneStar","true","4",,,"B09MDFH5HY","1","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Received this today, cpu was pre used and rattling around in the box in a sandwich bag. Thermal paste smeared around the cooler and cpu.","R3R5G0PGO581Y0",,,,"2 people found this helpful","Used CPU",,"Reviewed in Australia on 2 June 2023","76","25","Pattern Name: Processor","B09MDFH5HY"
"United Kingdom",,"2023-10-11",,"oneStar","true","5",,,"B09MDFH5HY","1","https://www.amazon.in/product-reviews/B09MDFH5HY?pageNumber=1&filterByStar=one_star&sortBy=helpful&formatType=all_formats&language=en","Still waiting for my refund after a faulty mother board ruined the cpu and possibly my gpu amson customer service is terrible have absolutely no understanding of technical stuff and couldn't care less that I'm sat here with no computer unable to make aliving and won't even compensate for the rest of the damage the faulty mother board has caused to my pc quick enough to take my money but every excuse under the sun not to give it bk","R3P6OZDXQWOVXS",,,,"5 people found this helpful","Waiting for refund",,"Reviewed in the United Kingdom on 11 October 2023","76","25","Pattern Name: Processor","B09MDFH5HY"
